date,category,event,detail,source,url
2026-03-30,M&A/earnings,Asset sale announced; Q4/FY25 call cancelled,"Public announcement of $39M AXNY asset sale + planned Dissolution; Q4 FY25 earnings call (sched 2026-03-31) cancelled; TD Cowen financial advisor",8-K EX-99.1 2026-03-31,https://www.sec.gov/Archives/edgar/data/1653909/000162828026022181/allbirdsprojectarisepressr.htm
2026-03-31,filings,FY2025 10-K filed,"Revenue $152.5M (-19.7%); GM 41.0%; loss from ops -$80.0M; net loss -$77.3M; op cash flow -$55.1M; EPS -$9.47; SUBSTANTIAL DOUBT going concern",10-K FY2025 (acc 0001628280-26-022192),https://www.stocktitan.net/sec-filings/BIRD/10-k-allbirds-inc-files-annual-report-260d69726500.html
2026-04-08,governance,Support Agreements (71%),"Holders of ~71% voting power (Maveron, Zwillinger, Tim Brown, Dick Boyce) agree to vote with Board on Special Meeting proposals",8-K 2026-04-15 (event 2026-04-08; acc 0001193125-26-155150),https://www.sec.gov/Archives/edgar/data/1653909/000119312526155150/d119005d8k.htm
2026-04-14,financing/pivot,$50M convertible facility signed,"Securities Purchase Agreement w/ unnamed institutional investor: senior secured convertible notes up to $50M; 12% coupon; 5% OID; 2yr maturity; toxic Alt Conversion = 93% of lowest 10-day VWAP; only $5.25M committed initial tranche, $44.75M at investor option; NewBird AI LLC subsidiary; investor 55% co-invest right 24mo",8-K 2026-04-20 (event 2026-04-14; acc 0001193125-26-164338),https://www.sec.gov/Archives/edgar/data/1653909/000119312526164338/d34261d8k.htm
2026-04-14,pivot,First GPU lease signed,"~$2.75M three-year GPU lease (NVIDIA Blackwell servers) to a subsidiary of QumulusAI Inc.; end-of-term purchase option; first transaction of new compute business",8-K 2026-04-20,https://www.sec.gov/Archives/edgar/data/1653909/000119312526164338/d34261d8k.htm
2026-04-15,pivot/market,AI pivot publicized; stock +582%,"Press release: pivot to AI compute / GPUaaS, rename to NewBird AI; Chardan placement agent; stock open $6.82 -> high $24.31 -> close $16.99 (+582%); market cap ~$21M -> ~$148M",DEFA14A 2026-04-15 EX-99.1; CNBC; Bloomberg,https://www.cnbc.com/2026/04/15/allbirds-bird-stock-shoes-ai.html
2026-04-16,market,Stock -36%,"Shares fade 36% to ~$12.03 (biggest drop in ~3 years)",Bloomberg,https://www.bloomberg.com/news/articles/2026-04-16/allbirds-shares-sink-as-582-ai-surge-comes-to-screeching-halt
2026-04-17,market,Volatility trading halt,"BIRD halted on volatility trading pause amid whipsaw",StocksToTrade,https://stockstotrade.com/news/allbirds-inc-bird-news-2026_04_17/
2026-04-19,financing,SPA amended & restated,"Securities Purchase Agreement amended/restated; Second Amendment to Credit Agreement same period",8-K 2026-04-20; 8-K 2026-05-28 recital,https://www.sec.gov/Archives/edgar/data/1653909/000119312526164338/d34261d8k.htm
2026-04-21,earnings,Q1 2026 preliminary results,"Prelim: net revenue $22.321M (+/-$1.0M, vs $32.1M Q1'25); GM 27.8%; opex $27.1M; net loss -$19.589M; adj EBITDA -$16.067M; cash $14.4M at 2026-03-31; auditor Deloitte (no assurance on prelim)",8-K 2026-04-21 (acc 0001628280-26-026081),https://www.sec.gov/Archives/edgar/data/0001653909/000162828026026081/allbirdsq12026preliminarye.htm
2026-04-24,filings,8-K/A on Electronics Infrastructure,"Amended 8-K detailing asset sale, renaming, Electronics Infrastructure Business (Items 1.01/2.03/3.02/7.01/8.01/9.01)",8-K/A 2026-04-24 (acc 0001193125-26-174460),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001653909
2026-04-28,financing,New Chardan ATM,"Class A ATM Sales Agreement with Chardan Capital Markets (up to 3% commission) under S-3 333-288434; terminated prior TD Securities ATM (effective 2026-04-27)",8-K 2026-04-29 (acc 0001653909-26-000006); 424B5,https://www.sec.gov/Archives/edgar/data/0001653909/000165390926000005/allbirds-chardanatmxprospe.htm
2026-05-08,proxy,Definitive proxy (DEFM14A) filed,"Special Meeting set; proposals: Asset Sale, Dissolution-of-footwear, Nasdaq 19.99% issuance, name change to NewBird AI Inc, adjournment; est. net proceeds ~$35.0-36.2M; est. Asset Sale Dividend ~$1.34/share; $1.25M termination fee; superior-proposal fiduciary out",DEFM14A 2026-05-08 (acc 0001193125-26-213226),https://www.sec.gov/Archives/edgar/data/1653909/000119312526213226/d39753ddefm14a.htm
2026-05-15,filings,Q1 2026 10-Q filed,"Final Q1 2026 quarterly report",10-Q (acc 0001628280-26-035302),https://www.sec.gov/Archives/edgar/data/0001653909/000162828026035302/bird-20260331.htm
2026-05-18,governance,Co-founder Zwillinger resigns Board,"Joseph (Joey) Zwillinger, director & footwear co-founder, resigns from Board effective 2026-05-18; 'not the result of any disagreement'",8-K 2026-05-20 (acc 0001628280-26-036896),https://www.sec.gov/Archives/edgar/data/1653909/000162828026036896/bird-20260518.htm
2026-05-26,financing,Third Amendment to Credit Agreement,"ABL revolver cut $50M -> $44.2M; adds Term Loan A ($3.3M) + Term Loan B ($2.5M); agent Second Avenue Capital Partners LLC; supports wind-down/close",8-K 2026-05-28 (acc 0001628280-26-038894),https://www.sec.gov/Archives/edgar/data/1653909/000162828026038894/bird-20260526.htm
2026-06-03,CATALYST,Special Meeting of Stockholders,"VIRTUAL special meeting 12:00pm PT; vote on Asset Sale, Dissolution, Nasdaq 19.99% issuance, NewBird AI name change, adjournment; record date 2026-04-13; ~71% support locked. NOT YET HELD as of 2026-06-01",DEFM14A 2026-05-08,https://www.sec.gov/Archives/edgar/data/1653909/000119312526213226/d39753ddefm14a.htm
2026-Q2,CATALYST,Asset Sale expected close,"AXNY $39M asset sale expected to close Q2 2026 (post-approval); $2M buyer escrow deposit",8-K 2026-03-31,https://www.sec.gov/Archives/edgar/data/1653909/000162828026022181/allbirdsprojectarisepressr.htm
2026-Q3,CATALYST,Special dividend distribution,"Asset Sale Dividend (~$1.34/share est.) to be distributed Q3 2026; anticipated dividend record date 2026-05-20 per Apr 15 PR (verify against final terms)",DEFM14A; DEFA14A 2026-04-15,https://www.sec.gov/Archives/edgar/data/1653909/000119312526164338/d34261dex991.htm
